Samples: 10000, Batch size: 32, Epochs: 500, Noise: 10 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch  301/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  164/ 499 | Train: 0.003698 | Test: 0.003962 
Epoch  302/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  165/ 499 | Train: 0.003700 | Test: 0.003953 
Epoch  303/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  166/ 499 | Train: 0.003697 | Test: 0.003961 
Epoch  304/ 499 | Train: 0.003370 | Test: 0.003844 
Epoch  167/ 499 | Train: 0.003697 | Test: 0.003950 
Epoch  305/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  168/ 499 | Train: 0.003696 | Test: 0.003951 
Epoch  306/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  169/ 499 | Train: 0.003696 | Test: 0.003953 
Epoch  307/ 499 | Train: 0.003370 | Test: 0.003845 
Epoch  170/ 499 | Train: 0.003694 | Test: 0.003952 
Epoch  308/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  171/ 499 | Train: 0.003695 | Test: 0.003955 
Epoch  309/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  172/ 499 | Train: 0.003694 | Test: 0.003954 
Epoch  310/ 499 | Train: 0.003369 | Test: 0.003844 
Epoch  173/ 499 | Train: 0.003692 | Test: 0.003959 
Epoch  311/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  174/ 499 | Train: 0.003691 | Test: 0.003966 
Epoch  312/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  175/ 499 | Train: 0.003689 | Test: 0.003961 
Epoch  313/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  176/ 499 | Train: 0.003689 | Test: 0.003963 
Epoch  314/ 499 | Train: 0.003369 | Test: 0.003844 
Epoch  177/ 499 | Train: 0.003690 | Test: 0.003960 
Epoch  315/ 499 | Train: 0.003369 | Test: 0.003844 
Epoch  178/ 499 | Train: 0.003688 | Test: 0.003953 
Epoch  316/ 499 | Train: 0.003369 | Test: 0.003844 
Epoch  179/ 499 | Train: 0.003687 | Test: 0.003958 
Epoch  317/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  180/ 499 | Train: 0.003686 | Test: 0.003957 
Epoch  318/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  181/ 499 | Train: 0.003687 | Test: 0.003957 
Epoch  319/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  182/ 499 | Train: 0.003684 | Test: 0.003961 
Epoch  320/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  183/ 499 | Train: 0.003683 | Test: 0.003985 
Epoch  321/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  184/ 499 | Train: 0.003683 | Test: 0.003975 
Epoch  322/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  185/ 499 | Train: 0.003682 | Test: 0.003956 
Epoch  323/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  186/ 499 | Train: 0.003681 | Test: 0.003977 
Epoch  324/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  187/ 499 | Train: 0.003681 | Test: 0.003963 
Epoch  325/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  188/ 499 | Train: 0.003673 | Test: 0.003958 
Epoch  326/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  189/ 499 | Train: 0.003672 | Test: 0.003958 
Epoch  327/ 499 | Train: 0.003369 | Test: 0.003845 
Epoch  190/ 499 | Train: 0.003671 | Test: 0.003956 
Epoch  328/ 499 | Train: 0.003369 | Test: 0.003845 
